Episode,TotalReward,AvgLoss,pass,single,pair,triplet,four,sequence
1,131,0.0,83,46,1,0,0,1
2,130,0.0,87,34,9,0,0,0
3,163,0.37696646579087806,112,51,0,0,0,0
4,159,0.2631053336239233,115,36,8,0,0,0
5,166,0.10222033800864612,114,52,0,0,0,0
6,189,0.06270414352498935,141,44,4,0,0,0
7,200,0.2594427740427961,154,41,5,0,0,0
8,245,0.06827405223261883,194,51,0,0,0,0
9,293,0.16945006674410315,242,50,1,0,0,0
10,360,0.09803402709241563,308,52,0,0,0,0
11,425,0.15309364852184498,375,49,1,0,0,0
12,374,0.38778189385618866,328,41,5,0,0,0
13,543,0.29581497884980773,495,48,0,0,0,0
14,574,0.3815165791578889,525,48,1,0,0,0
15,591,0.3281998965143458,543,46,2,0,0,0
16,655,0.24513016479305047,606,47,1,0,0,1
17,626,0.37258150348133,576,48,2,0,0,0
18,836,0.8704149600806976,786,48,2,0,0,0
19,472,0.6274179664702147,425,42,5,0,0,0
20,670,1.4794185299662201,618,52,0,0,0,0
21,516,1.668703487615246,465,50,1,0,0,0
22,553,1.07844441901623,502,50,1,0,0,0
23,451,1.0081526484253407,403,44,4,0,0,0
24,283,1.029004723545307,233,48,2,0,0,0
25,420,1.5667751624958046,368,52,0,0,0,0
26,428,1.4959764872515398,376,52,0,0,0,0
27,398,1.6586267347176367,348,48,2,0,0,0
28,497,1.912177319057357,448,47,2,0,0,0
29,434,2.105830570633146,385,47,1,1,0,0
30,346,2.573698404878141,296,48,2,0,0,0
31,491,2.0579196418615915,446,44,1,0,0,0
32,507,1.8487001507213008,457,48,2,0,0,0
33,435,2.4208785774728176,389,41,4,1,0,0
34,417,2.4548792893667586,366,50,1,0,0,0
35,345,3.5197077380918445,295,48,2,0,0,0
36,378,3.5750406437219153,329,46,3,0,0,0
37,308,3.0016461738555646,258,49,1,0,0,0
38,283,7.565308032817656,235,45,3,0,0,0
39,435,11.324695468792843,387,44,4,0,0,0
40,329,5.883506922881681,281,44,4,0,0,0
41,477,4.176318127333653,429,47,1,0,0,0
42,619,4.096518968444365,570,46,3,0,0,0
43,497,6.682462948683826,448,46,3,0,0,0
44,583,6.88823350162752,533,48,2,0,0,0
45,508,10.705018793795116,457,50,1,0,0,0
46,562,15.152717674653967,512,48,2,0,0,0
47,567,18.678194572314457,517,48,2,0,0,0
48,342,19.14372171136426,291,50,1,0,0,0
49,451,17.734926780151135,403,45,3,0,0,0
50,424,19.75164611025999,377,42,5,0,0,0
51,332,27.415298748330724,280,52,0,0,0,0
52,357,34.57061914448492,307,48,2,0,0,0
53,266,28.241403342945734,216,48,2,0,0,0
54,506,44.44889345599678,455,50,1,0,0,0
55,399,55.291960180391264,350,48,0,1,0,0
56,325,53.73868524683421,278,45,1,0,0,1
57,481,50.93090031262044,431,48,2,0,0,0
58,411,79.96709388555877,363,45,2,1,0,0
59,364,117.44864369282568,316,46,2,0,0,0
60,241,129.85524738348764,197,39,5,0,0,0
61,393,109.66946852610401,347,42,4,0,0,0
62,662,250.9427428993691,611,50,1,0,0,0
63,475,285.958406866737,426,46,3,0,0,0
64,498,435.7126237239189,447,50,1,0,0,0
65,492,539.5326251204407,440,52,0,0,0,0
66,546,693.8978428764946,498,44,4,0,0,0
67,379,819.2267510750123,331,44,4,0,0,0
68,410,790.5722867845058,363,43,4,0,0,0
69,412,827.6174094051881,361,50,1,0,0,0
70,443,787.7008971292564,393,48,2,0,0,0
71,428,1107.2160786454294,379,46,3,0,0,0
72,392,1126.0829673004325,342,48,2,0,0,0
73,431,1275.3403250816189,380,50,1,0,0,0
74,491,1664.6591537653844,442,46,3,0,0,0
75,834,2431.9420480563244,786,44,4,0,0,0
76,251,3158.8781567701867,205,43,3,0,0,0
